_H:	|batch	|epoch	|trial	$trial_name	$group_name	|phase_no	%minus_cycles	%sse	%ext_rew	%Input_act_m[2:0,0]<2:3,4>	%Input_act_m[2:1,0]	%Input_act_m[2:2,0]	%Input_act_m[2:0,1]	%Input_act_m[2:1,1]	%Input_act_m[2:2,1]	%Input_act_m[2:0,2]	%Input_act_m[2:1,2]	%Input_act_m[2:2,2]	%Input_act_m[2:0,3]	%Input_act_m[2:1,3]	%Input_act_m[2:2,3]	%Hidden_act_m[2:0,0]<2:4,4>	%Hidden_act_m[2:1,0]	%Hidden_act_m[2:2,0]	%Hidden_act_m[2:3,0]	%Hidden_act_m[2:0,1]	%Hidden_act_m[2:1,1]	%Hidden_act_m[2:2,1]	%Hidden_act_m[2:3,1]	%Hidden_act_m[2:0,2]	%Hidden_act_m[2:1,2]	%Hidden_act_m[2:2,2]	%Hidden_act_m[2:3,2]	%Hidden_act_m[2:0,3]	%Hidden_act_m[2:1,3]	%Hidden_act_m[2:2,3]	%Hidden_act_m[2:3,3]	%Output_act_m[2:0,0]<2:3,4>	%Output_act_m[2:1,0]	%Output_act_m[2:2,0]	%Output_act_m[2:0,1]	%Output_act_m[2:1,1]	%Output_act_m[2:2,1]	%Output_act_m[2:0,2]	%Output_act_m[2:1,2]	%Output_act_m[2:2,2]	%Output_act_m[2:0,3]	%Output_act_m[2:1,3]	%Output_act_m[2:2,3]
_D:	0	0	353	"L_J"	""	2	50	2.42628	0	0	0	0	0	0	0	0	0	0	0	0	0.95	0.00427103	0.869168	0	0.544508	0.00601875	5.57169e-06	0	0	0.369695	0	0.873327	0	5.36807e-07	0	0.492306	0.0216875	0.742084	0.247479	4.31633e-07	0.0927098	0	2.11848e-06	0.93573	3.39391e-05	0	0	0	0.309729
_D:	0	0	354	"J_K"	""	2	50	0.859035	0	0	0	0	0	0	0	0	0	0	0.95	0	0	0.808503	0	0.334703	3.39882e-06	0.835305	0.787276	0.377893	0	4.44058e-07	0.0437502	0	0	0.607199	0	0	4.75436e-05	0.00182361	0	0.286401	9.52495e-05	0.0156969	0.42891	0.00205594	0.00628135	0.156114	0.926841	0.805997	0.000567882
_D:	0	0	355	"K_L"	""	2	50	0.368545	0	0	0	0	0	0	0	0	0	0	0	0.95	0	0.000397491	0.705676	0.000394884	0	0.778419	2.78228e-05	0	0	0	0.801291	6.27889e-06	0	0	0.000693942	0.000348345	0.840407	0.607079	0.0257264	0.230351	0	0.00676627	1.68601e-05	0.408285	0	0.0481656	0	0.0204892	0.897293
_D:	0	0	356	"L_G"	""	2	50	2.34603	0	0	0	0	0	0	0	0	0	0	0	0	0.95	0.879842	0.408171	0	0.00428189	0.791821	0	0	0	0.000845223	0	0	0	0.800826	7.75858e-05	0.19344	0.00245933	0.00123095	0.110801	0.367415	0	0	0	0.00486901	0.000367485	0.696529	0.933057	0.0394582	0.02071
_D:	0	0	357	"G_H"	""	2	50	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0.00318731	0	0.835269	0	0	0	0	8.7863e-07	0.874949	0.00240657	0.0231955	7.23932e-05	0.589818	0	0.803763	0	0.330258	0.0899737	0.212499	0.0241878	0.0920217	0.442557	0	0.891196	0	0	0.108311	0
_D:	0	0	358	"H_I"	""	2	50	1.00399	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0.899561	0	0	0.000164641	0.000315814	0	9.88905e-07	0.472265	0	0	0.819149	0.000162792	0.521164	0.834914	0	0	0.0147366	0	0.00258484	0.00181721	0.227627	0.000151545	0.573553	0.000419091	0.930917	0.821602	0	0.000255924
_D:	0	0	359	"I_A"	""	2	50	2.60866	0	0	0	0	0	0	0	0	0	0.95	0	0	0	0.833407	0.0948829	0.00100057	1.18107e-06	3.00151e-07	0.65863	0.000164684	0.00195099	0	0	0	0.857401	0.821548	0	0	0	0	0.701054	0.289106	0	0.0111009	0.545812	0	0	0.000422327	0.905138	0	0
_D:	0	0	360	"A_B"	""	2	50	0.876568	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0.859294	0	0	0.000282914	0.00548982	0	4.32842e-07	0.578703	0.000636076	0	0.795125	0.831793	0.00747273	0.259448	0	0.750841	0.766997	0.00033691	1.87729e-07	0.000147802	0	0.482668	0.0348043	0	0.559291	0	9.55151e-06
_D:	0	0	361	"B_C"	""	2	50	0.320635	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0.000643612	0	0.499326	0.759595	0.72017	0	0.0381994	0	0	0	0	0.723893	0	0	0	0.790079	0.356237	0.401877	0.887111	0	0.121618	0.0374276	6.13601e-07	0.0907032	0	0	0.00795723	0.566246
_D:	0	0	362	"C_G"	""	2	50	1.24946	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0.00158051	0.899896	0	2.2352e-05	0	0	0.0390177	3.28783e-06	0.656632	0.756873	0.879975	0	0.0287724	0	0	0	0.806858	0	0	0.00270337	0.00589219	0	0.935478	0	0	1.30643e-07	0.000709349	0.773589
